YEAR,MO,DY,HR,T2M;
2015,2,11,7,5.12;
2015,2,11,8,6.32;
2015,2,11,9,7.55;
2015,2,11,10,8.67;
2015,2,11,11,9.63;
2015,2,11,12,10.24;
2015,2,11,13,10.58;
2015,2,11,14,10.69;
2015,2,11,15,10.48;
2015,2,11,16,9.4;
2015,2,11,17,8.34;
2015,2,11,18,8.07;
2015,2,11,19,7.9;
2015,2,11,20,7.49;
2015,2,11,21,6.58;
2015,2,11,22,5.8;
2015,2,11,23,5.26;
2015,2,12,0,4.84;
2015,2,12,1,4.47;
2015,2,12,2,4.12;
2015,2,12,3,3.83;
2015,2,12,4,3.56;
2015,2,12,5,3.36;
2015,2,12,6,3.27;
2015,2,12,7,3.69;
2015,2,12,8,5.33;
2015,2,12,9,6.21;
2015,2,12,10,6.8;
2015,2,12,11,7.39;
2015,2,12,12,7.93;
2015,2,12,13,8.34;
2015,2,12,14,8.55;
2015,2,12,15,8.54;
2015,2,12,16,7.92;
2015,2,12,17,7.36;
2015,2,12,18,7.22;
2015,2,12,19,7.01;
2015,2,12,20,6.63;
2015,2,12,21,6.05;
2015,2,12,22,5.47;
2015,2,12,23,5.11;
2015,2,13,0,4.88;
2015,2,13,1,4.75;
2015,2,13,2,4.67;
2015,2,13,3,4.67;
2015,2,13,4,4.62;
2015,2,13,5,4.51;
2015,2,13,6,4.42;
2015,2,13,7,4.47;
2015,2,13,8,5.53;
2015,2,13,9,6.25;
2015,2,13,10,6.82;
2015,2,13,11,7.19;
2015,2,13,12,7.48;
2015,2,13,13,7.65;
2015,2,13,14,7.62;
2015,2,13,15,7.42;
2015,2,13,16,6.79;
2015,2,13,17,5.93;
2015,2,13,18,5.71;
2015,2,13,19,5.68;
2015,2,13,20,5.68;
2015,2,13,21,5.65;
2015,2,13,22,5.65;
2015,2,13,23,5.66;
2015,2,14,0,5.6;
2015,2,14,1,5.52;
2015,2,14,2,5.5;
2015,2,14,3,5.52;
2015,2,14,4,5.37;
2015,2,14,5,5.15;
2015,2,14,6,5.03;
2015,2,14,7,5.12;
2015,2,14,8,5.69;
2015,2,14,9,6.09;
2015,2,14,10,6.33;
2015,2,14,11,6.73;
2015,2,14,12,7.15;
2015,2,14,13,7.6;
2015,2,14,14,8.04;
2015,2,14,15,8.25;
2015,2,14,16,7.79;
2015,2,14,17,7.04;
2015,2,14,18,6.97;
2015,2,14,19,6.97;
2015,2,14,20,6.93;
2015,2,14,21,6.8;
2015,2,14,22,6.9;
2015,2,14,23,7.0;
2015,2,15,0,7.05;
2015,2,15,1,7.04;
2015,2,15,2,6.94;
2015,2,15,3,6.81;
2015,2,15,4,6.76;
2015,2,15,5,6.71;
2015,2,15,6,6.61;
2015,2,15,7,6.81;
2015,2,15,8,8.4;
2015,2,15,9,9.42;
2015,2,15,10,10.18;
2015,2,15,11,10.64;
2015,2,15,12,10.83;
2015,2,15,13,10.81;
2015,2,15,14,10.63;
2015,2,15,15,10.26;
2015,2,15,16,9.42;
2015,2,15,17,8.44;
2015,2,15,18,8.16;
2015,2,15,19,8.0;
2015,2,15,20,7.76;
2015,2,15,21,7.41;
2015,2,15,22,7.19;
2015,2,15,23,7.0;
2015,2,16,0,6.82;
2015,2,16,1,6.66;
2015,2,16,2,6.53;
2015,2,16,3,6.38;
2015,2,16,4,6.26;
2015,2,16,5,6.12;
2015,2,16,6,6.0;
2015,2,16,7,6.3;
2015,2,16,8,7.55;
2015,2,16,9,8.75;
2015,2,16,10,9.73;
2015,2,16,11,10.38;
2015,2,16,12,10.87;
2015,2,16,13,11.15;
2015,2,16,14,11.19;
2015,2,16,15,10.92;
2015,2,16,16,9.98;
2015,2,16,17,8.47;
2015,2,16,18,7.97;
2015,2,16,19,7.42;
2015,2,16,20,6.83;
2015,2,16,21,6.28;
2015,2,16,22,5.91;
2015,2,16,23,5.73;
2015,2,17,0,5.49;
2015,2,17,1,5.27;
2015,2,17,2,5.29;
2015,2,17,3,5.3;
2015,2,17,4,5.27;
2015,2,17,5,5.3;
2015,2,17,6,5.15;
2015,2,17,7,5.62;
2015,2,17,8,7.44;
2015,2,17,9,8.55;
2015,2,17,10,9.13;
2015,2,17,11,9.66;
2015,2,17,12,10.13;
2015,2,17,13,10.44;
2015,2,17,14,10.52;
2015,2,17,15,10.29;
2015,2,17,16,9.3;
2015,2,17,17,7.55;
2015,2,17,18,6.8;
2015,2,17,19,6.2;
2015,2,17,20,5.61;
2015,2,17,21,5.01;
2015,2,17,22,4.54;
2015,2,17,23,4.23;
2015,2,18,0,3.96;
2015,2,18,1,3.7;
2015,2,18,2,3.48;
2015,2,18,3,3.3;
2015,2,18,4,3.1;
2015,2,18,5,2.9;
2015,2,18,6,2.74;
2015,2,18,7,3.21;
2015,2,18,8,4.83;
2015,2,18,9,5.77;
2015,2,18,10,6.49;
2015,2,18,11,7.22;
2015,2,18,12,7.87;
2015,2,18,13,8.41;
2015,2,18,14,8.75;
2015,2,18,15,8.76;
2015,2,18,16,7.98;
2015,2,18,17,6.82;
2015,2,18,18,6.45;
2015,2,18,19,5.78;
2015,2,18,20,4.76;
2015,2,18,21,3.89;
2015,2,18,22,3.37;
2015,2,18,23,3.07;
2015,2,19,0,2.89;
2015,2,19,1,2.87;
2015,2,19,2,3.13;
2015,2,19,3,3.59;
2015,2,19,4,3.82;
2015,2,19,5,3.74;
2015,2,19,6,3.62;
2015,2,19,7,3.83;
2015,2,19,8,5.26;
2015,2,19,9,6.38;
2015,2,19,10,7.05;
2015,2,19,11,7.58;
2015,2,19,12,8.12;
2015,2,19,13,8.49;
2015,2,19,14,8.73;
2015,2,19,15,8.67;
2015,2,19,16,7.87;
2015,2,19,17,6.5;
2015,2,19,18,6.03;
2015,2,19,19,5.8;
2015,2,19,20,5.58;
2015,2,19,21,5.38;
2015,2,19,22,5.19;
2015,2,19,23,5.06;
2015,2,20,0,5.01;
2015,2,20,1,4.95;
2015,2,20,2,4.65;
2015,2,20,3,4.41;
2015,2,20,4,4.22;
2015,2,20,5,4.19;
2015,2,20,6,4.03;
2015,2,20,7,4.05;
2015,2,20,8,4.74;
2015,2,20,9,6.08;
2015,2,20,10,7.19;
2015,2,20,11,7.94;
2015,2,20,12,8.52;
2015,2,20,13,8.9;
2015,2,20,14,9.01;
2015,2,20,15,8.83;
2015,2,20,16,8.05;
2015,2,20,17,6.83;
2015,2,20,18,6.56;
2015,2,20,19,6.46;
2015,2,20,20,6.33;
2015,2,20,21,6.04;
2015,2,20,22,5.58;
2015,2,20,23,5.15;
2015,2,21,0,4.85;
2015,2,21,1,4.73;
2015,2,21,2,4.69;
2015,2,21,3,4.75;
2015,2,21,4,4.98;
2015,2,21,5,4.85;
2015,2,21,6,4.81;
2015,2,21,7,5.05;
2015,2,21,8,6.16;
2015,2,21,9,7.07;
2015,2,21,10,7.87;
2015,2,21,11,8.58;
2015,2,21,12,8.95;
2015,2,21,13,9.17;
2015,2,21,14,9.34;
2015,2,21,15,9.32;
2015,2,21,16,8.69;
2015,2,21,17,7.62;
2015,2,21,18,7.25;
2015,2,21,19,7.26;
2015,2,21,20,7.21;
2015,2,21,21,7.06;
2015,2,21,22,6.89;
2015,2,21,23,6.92;
2015,2,22,0,6.8;
2015,2,22,1,6.51;
2015,2,22,2,6.45;
2015,2,22,3,6.45;
2015,2,22,4,6.44;
2015,2,22,5,6.47;
2015,2,22,6,6.55;
2015,2,22,7,6.56;
2015,2,22,8,6.31;
2015,2,22,9,6.15;
2015,2,22,10,6.18;
2015,2,22,11,6.76;
2015,2,22,12,7.53;
2015,2,22,13,8.11;
2015,2,22,14,8.5;
2015,2,22,15,8.7;
2015,2,22,16,8.6;
2015,2,22,17,8.15;
2015,2,22,18,7.87;
2015,2,22,19,7.8;
2015,2,22,20,7.69;
2015,2,22,21,7.54;
2015,2,22,22,7.37;
2015,2,22,23,7.21;
2015,2,23,0,7.07;
2015,2,23,1,6.96;
2015,2,23,2,6.84;
2015,2,23,3,6.66;
2015,2,23,4,6.41;
2015,2,23,5,6.1;
2015,2,23,6,5.76;
2015,2,23,7,6.12;
2015,2,23,8,7.36;
2015,2,23,9,8.12;
2015,2,23,10,8.74;
2015,2,23,11,9.3;
2015,2,23,12,9.67;
2015,2,23,13,9.83;
2015,2,23,14,9.88;
2015,2,23,15,9.83;
2015,2,23,16,9.37;
2015,2,23,17,8.12;
2015,2,23,18,7.76;
2015,2,23,19,7.7;
2015,2,23,20,7.76;
2015,2,23,21,7.8;
2015,2,23,22,7.72;
2015,2,23,23,7.58;
2015,2,24,0,7.43;
2015,2,24,1,7.32;
2015,2,24,2,7.19;
2015,2,24,3,6.94;
2015,2,24,4,6.62;
2015,2,24,5,6.45;
2015,2,24,6,6.45;
2015,2,24,7,6.75;
2015,2,24,8,7.81;
2015,2,24,9,8.39;
2015,2,24,10,8.88;
2015,2,24,11,9.1;
2015,2,24,12,9.24;
2015,2,24,13,9.3;
2015,2,24,14,9.28;
2015,2,24,15,9.19;
2015,2,24,16,8.81;
2015,2,24,17,8.19;
2015,2,24,18,7.74;
2015,2,24,19,7.73;
2015,2,24,20,7.76;
2015,2,24,21,7.56;
2015,2,24,22,7.33;
2015,2,24,23,6.94;
2015,2,25,0,6.5;
2015,2,25,1,6.15;
2015,2,25,2,5.95;
2015,2,25,3,5.87;
2015,2,25,4,5.94;
2015,2,25,5,6.09;
2015,2,25,6,6.2;
2015,2,25,7,6.51;
2015,2,25,8,7.21;
2015,2,25,9,8.12;
2015,2,25,10,8.9;
2015,2,25,11,9.55;
2015,2,25,12,10.05;
2015,2,25,13,10.4;
2015,2,25,14,10.53;
2015,2,25,15,10.37;
2015,2,25,16,9.81;
2015,2,25,17,8.99;
2015,2,25,18,8.48;
2015,2,25,19,7.98;
2015,2,25,20,7.44;
2015,2,25,21,6.77;
2015,2,25,22,6.28;
2015,2,25,23,6.21;
2015,2,26,0,6.4;
2015,2,26,1,6.58;
2015,2,26,2,6.65;
2015,2,26,3,6.64;
2015,2,26,4,6.62;
2015,2,26,5,6.58;
2015,2,26,6,6.56;
2015,2,26,7,6.73;
2015,2,26,8,7.75;
2015,2,26,9,8.71;
2015,2,26,10,9.23;
2015,2,26,11,9.84;
2015,2,26,12,10.28;
2015,2,26,13,10.53;
2015,2,26,14,10.69;
2015,2,26,15,10.66;
2015,2,26,16,10.23;
2015,2,26,17,9.33;
2015,2,26,18,8.84;
2015,2,26,19,8.26;
2015,2,26,20,8.03;
2015,2,26,21,8.08;
2015,2,26,22,7.73;
2015,2,26,23,7.06;
2015,2,27,0,6.63;
2015,2,27,1,6.28;
2015,2,27,2,5.85;
2015,2,27,3,5.58;
2015,2,27,4,5.36;
2015,2,27,5,5.18;
2015,2,27,6,5.05;
2015,2,27,7,5.79;
2015,2,27,8,7.14;
2015,2,27,9,7.99;
2015,2,27,10,8.86;
2015,2,27,11,9.63;
2015,2,27,12,10.3;
2015,2,27,13,10.82;
2015,2,27,14,11.14;
2015,2,27,15,11.11;
2015,2,27,16,10.64;
2015,2,27,17,9.49;
2015,2,27,18,8.89;
2015,2,27,19,8.66;
2015,2,27,20,8.43;
2015,2,27,21,8.28;
2015,2,27,22,8.47;
2015,2,27,23,8.3;
2015,2,28,0,7.48;
2015,2,28,1,6.56;
2015,2,28,2,6.14;
2015,2,28,3,5.9;
2015,2,28,4,5.79;
2015,2,28,5,5.77;
2015,2,28,6,5.87;
2015,2,28,7,6.8;
2015,2,28,8,8.21;
2015,2,28,9,9.01;
2015,2,28,10,9.67;
2015,2,28,11,10.33;
2015,2,28,12,10.91;
2015,2,28,13,11.27;
2015,2,28,14,11.42;
2015,2,28,15,11.4;
2015,2,28,16,10.91;
2015,2,28,17,9.91;
2015,2,28,18,9.45;
2015,2,28,19,9.07;
2015,2,28,20,8.88;
2015,2,28,21,8.39;
2015,2,28,22,8.07;
2015,2,28,23,7.55;
2015,3,1,0,7.24;
2015,3,1,1,7.06;
2015,3,1,2,6.76;
2015,3,1,3,6.69;
2015,3,1,4,6.73;
2015,3,1,5,6.53;
2015,3,1,6,6.37;
2015,3,1,7,6.53;
2015,3,1,8,7.29;
2015,3,1,9,8.11;
2015,3,1,10,8.77;
2015,3,1,11,9.19;
2015,3,1,12,9.81;
2015,3,1,13,10.49;
2015,3,1,14,10.94;
2015,3,1,15,11.08;
2015,3,1,16,10.59;
2015,3,1,17,9.24;
2015,3,1,18,8.67;
2015,3,1,19,8.4;
2015,3,1,20,8.16;
2015,3,1,21,7.96;
2015,3,1,22,7.64;
2015,3,1,23,7.26;
2015,3,2,0,7.0;
2015,3,2,1,7.05;
2015,3,2,2,7.22;
2015,3,2,3,7.17;
2015,3,2,4,7.12;
2015,3,2,5,7.05;
2015,3,2,6,6.96;
2015,3,2,7,6.94;
2015,3,2,8,7.13;
2015,3,2,9,7.33;
2015,3,2,10,7.51;
2015,3,2,11,7.73;
2015,3,2,12,8.26;
2015,3,2,13,8.8;
2015,3,2,14,9.06;
2015,3,2,15,9.17;
2015,3,2,16,9.31;
2015,3,2,17,8.51;
2015,3,2,18,7.91;
2015,3,2,19,8.23;
2015,3,2,20,8.42;
2015,3,2,21,8.07;
2015,3,2,22,7.47;
2015,3,2,23,7.0;
2015,3,3,0,6.67;
2015,3,3,1,6.23;
2015,3,3,2,5.93;
2015,3,3,3,5.98;
2015,3,3,4,6.44;
2015,3,3,5,6.58;
2015,3,3,6,6.37;
2015,3,3,7,7.3;
2015,3,3,8,9.06;
2015,3,3,9,10.23;
2015,3,3,10,11.27;
2015,3,3,11,11.86;
2015,3,3,12,12.15;
2015,3,3,13,12.24;
2015,3,3,14,12.19;
2015,3,3,15,11.9;
2015,3,3,16,11.22;
2015,3,3,17,9.85;
2015,3,3,18,9.49;
2015,3,3,19,9.41;
2015,3,3,20,9.51;
2015,3,3,21,9.26;
2015,3,3,22,8.54;
2015,3,3,23,7.59;
2015,3,4,0,6.82;
2015,3,4,1,6.37;
2015,3,4,2,6.3;
2015,3,4,3,6.34;
2015,3,4,4,6.37;
2015,3,4,5,6.37;
2015,3,4,6,6.42;
2015,3,4,7,7.05;
2015,3,4,8,8.05;
2015,3,4,9,8.71;
2015,3,4,10,9.49;
2015,3,4,11,10.14;
2015,3,4,12,10.35;
2015,3,4,13,10.33;
2015,3,4,14,10.17;
2015,3,4,15,9.96;
2015,3,4,16,9.53;
2015,3,4,17,9.07;
2015,3,4,18,8.55;
2015,3,4,19,7.71;
2015,3,4,20,7.56;
2015,3,4,21,7.83;
2015,3,4,22,7.86;
2015,3,4,23,7.65;
2015,3,5,0,7.36;
2015,3,5,1,7.15;
2015,3,5,2,7.01;
2015,3,5,3,6.89;
2015,3,5,4,6.74;
2015,3,5,5,6.51;
2015,3,5,6,6.33;
2015,3,5,7,6.6;
2015,3,5,8,7.73;
2015,3,5,9,8.86;
2015,3,5,10,9.67;
2015,3,5,11,10.38;
2015,3,5,12,11.05;
2015,3,5,13,11.41;
2015,3,5,14,11.39;
2015,3,5,15,11.0;
2015,3,5,16,10.24;
2015,3,5,17,9.01;
2015,3,5,18,8.1;
2015,3,5,19,7.55;
2015,3,5,20,7.08;
2015,3,5,21,6.77;
2015,3,5,22,6.56;
2015,3,5,23,6.33;
2015,3,6,0,5.9;
2015,3,6,1,5.42;
2015,3,6,2,5.01;
2015,3,6,3,4.7;
2015,3,6,4,4.44;
2015,3,6,5,4.27;
2015,3,6,6,4.27;
2015,3,6,7,5.74;
2015,3,6,8,8.06;
2015,3,6,9,9.33;
2015,3,6,10,10.01;
2015,3,6,11,10.34;
2015,3,6,12,10.69;
2015,3,6,13,10.97;
2015,3,6,14,11.11;
2015,3,6,15,11.04;
2015,3,6,16,10.57;
2015,3,6,17,9.03;
2015,3,6,18,8.18;
2015,3,6,19,7.62;
2015,3,6,20,7.0;
2015,3,6,21,6.44;
2015,3,6,22,6.01;
2015,3,6,23,5.75;
2015,3,7,0,5.72;
2015,3,7,1,5.83;
2015,3,7,2,5.85;
2015,3,7,3,5.59;
2015,3,7,4,5.05;
2015,3,7,5,4.76;
2015,3,7,6,4.57;
2015,3,7,7,5.47;
2015,3,7,8,7.44;
2015,3,7,9,8.97;
2015,3,7,10,10.09;
2015,3,7,11,10.8;
2015,3,7,12,11.36;
2015,3,7,13,11.65;
2015,3,7,14,11.73;
2015,3,7,15,11.56;
2015,3,7,16,11.08;
2015,3,7,17,9.92;
2015,3,7,18,9.37;
2015,3,7,19,8.76;
2015,3,7,20,7.94;
2015,3,7,21,7.11;
2015,3,7,22,6.49;
2015,3,7,23,5.99;
2015,3,8,0,5.58;
2015,3,8,1,5.25;
2015,3,8,2,4.84;
2015,3,8,3,4.53;
2015,3,8,4,4.27;
2015,3,8,5,4.05;
2015,3,8,6,3.97;
2015,3,8,7,5.6;
2015,3,8,8,7.45;
2015,3,8,9,8.42;
2015,3,8,10,9.2;
2015,3,8,11,10.16;
2015,3,8,12,11.05;
2015,3,8,13,11.61;
2015,3,8,14,11.79;
2015,3,8,15,11.59;
2015,3,8,16,10.89;
2015,3,8,17,8.98;
2015,3,8,18,7.73;
2015,3,8,19,7.26;
2015,3,8,20,6.71;
2015,3,8,21,6.16;
2015,3,8,22,5.66;
2015,3,8,23,5.27;
2015,3,9,0,5.0;
2015,3,9,1,4.83;
2015,3,9,2,4.69;
2015,3,9,3,4.56;
2015,3,9,4,4.36;
2015,3,9,5,4.14;
2015,3,9,6,4.05;
2015,3,9,7,5.42;
2015,3,9,8,6.99;
2015,3,9,9,7.65;
2015,3,9,10,8.26;
2015,3,9,11,8.93;
2015,3,9,12,9.54;
2015,3,9,13,9.97;
2015,3,9,14,10.18;
2015,3,9,15,10.15;
2015,3,9,16,9.97;
2015,3,9,17,9.49;
2015,3,9,18,9.33;
2015,3,9,19,8.97;
2015,3,9,20,8.37;
2015,3,9,21,7.49;
2015,3,9,22,6.76;
2015,3,9,23,6.28;
2015,3,10,0,5.92;
2015,3,10,1,5.77;
2015,3,10,2,5.8;
2015,3,10,3,5.83;
2015,3,10,4,5.68;
2015,3,10,5,5.32;
2015,3,10,6,5.01;
2015,3,10,7,6.17;
2015,3,10,8,8.05;
2015,3,10,9,9.3;
2015,3,10,10,10.22;
2015,3,10,11,11.08;
2015,3,10,12,11.65;
2015,3,10,13,12.08;
2015,3,10,14,12.42;
2015,3,10,15,12.44;
2015,3,10,16,11.98;
2015,3,10,17,10.74;
2015,3,10,18,9.95;
2015,3,10,19,9.58;
2015,3,10,20,9.19;
2015,3,10,21,8.71;
2015,3,10,22,8.33;
2015,3,10,23,8.1;
2015,3,11,0,7.99;
2015,3,11,1,8.02;
2015,3,11,2,8.04;
2015,3,11,3,8.26;
2015,3,11,4,8.26;
2015,3,11,5,8.13;
2015,3,11,6,7.9;
2015,3,11,7,8.22;
2015,3,11,8,9.12;
2015,3,11,9,10.99;
2015,3,11,10,12.55;
2015,3,11,11,13.29;
2015,3,11,12,13.65;
2015,3,11,13,13.74;
2015,3,11,14,13.69;
2015,3,11,15,13.48;
2015,3,11,16,12.78;
2015,3,11,17,11.13;
2015,3,11,18,10.08;
2015,3,11,19,9.65;
2015,3,11,20,9.37;
2015,3,11,21,8.69;
2015,3,11,22,8.1;
2015,3,11,23,7.46;
2015,3,12,0,6.85;
2015,3,12,1,6.32;
2015,3,12,2,5.99;
2015,3,12,3,5.94;
2015,3,12,4,6.1;
2015,3,12,5,6.22;
2015,3,12,6,6.25;
2015,3,12,7,7.3;
2015,3,12,8,9.42;
2015,3,12,9,10.68;
2015,3,12,10,11.36;
2015,3,12,11,11.81;
2015,3,12,12,12.19;
2015,3,12,13,12.49;
2015,3,12,14,12.76;
2015,3,12,15,12.77;
2015,3,12,16,12.15;
2015,3,12,17,10.38;
2015,3,12,18,9.19;
2015,3,12,19,8.87;
2015,3,12,20,8.65;
2015,3,12,21,8.38;
2015,3,12,22,8.19;
2015,3,12,23,8.09;
2015,3,13,0,8.0;
2015,3,13,1,8.08;
2015,3,13,2,8.07;
2015,3,13,3,7.68;
2015,3,13,4,7.22;
2015,3,13,5,6.8;
2015,3,13,6,6.59;
2015,3,13,7,7.36;
2015,3,13,8,9.04;
2015,3,13,9,10.14;
2015,3,13,10,10.76;
2015,3,13,11,11.12;
2015,3,13,12,11.35;
2015,3,13,13,11.29;
2015,3,13,14,11.08;
2015,3,13,15,10.87;
2015,3,13,16,10.37;
2015,3,13,17,9.01;
2015,3,13,18,7.9;
2015,3,13,19,7.66;
2015,3,13,20,7.63;
2015,3,13,21,7.72;
2015,3,13,22,7.58;
2015,3,13,23,7.22;
2015,3,14,0,6.79;
2015,3,14,1,6.42;
2015,3,14,2,6.16;
2015,3,14,3,6.01;
2015,3,14,4,5.87;
2015,3,14,5,5.69;
2015,3,14,6,5.61;
2015,3,14,7,6.62;
2015,3,14,8,7.44;
2015,3,14,9,8.11;
2015,3,14,10,8.78;
2015,3,14,11,9.48;
2015,3,14,12,10.19;
2015,3,14,13,10.58;
2015,3,14,14,10.8;
2015,3,14,15,10.75;
2015,3,14,16,10.44;
2015,3,14,17,9.37;
2015,3,14,18,8.58;
2015,3,14,19,8.38;
2015,3,14,20,8.31;
2015,3,14,21,8.12;
2015,3,14,22,7.76;
2015,3,14,23,7.33;
2015,3,15,0,6.85;
2015,3,15,1,6.37;
2015,3,15,2,5.92;
2015,3,15,3,5.6;
2015,3,15,4,5.39;
2015,3,15,5,5.33;
2015,3,15,6,5.49;
2015,3,15,7,6.85;
2015,3,15,8,7.94;
2015,3,15,9,8.99;
2015,3,15,10,9.96;
2015,3,15,11,10.81;
2015,3,15,12,11.43;
2015,3,15,13,11.71;
2015,3,15,14,11.79;
2015,3,15,15,11.61;
2015,3,15,16,11.05;
2015,3,15,17,9.97;
2015,3,15,18,9.37;
2015,3,15,19,9.25;
2015,3,15,20,9.2;
2015,3,15,21,8.92;
2015,3,15,22,8.58;
2015,3,15,23,8.29;
2015,3,16,0,8.13;
2015,3,16,1,8.33;
2015,3,16,2,8.3;
2015,3,16,3,8.16;
2015,3,16,4,8.05;
2015,3,16,5,7.94;
2015,3,16,6,7.92;
2015,3,16,7,8.05;
2015,3,16,8,8.26;
2015,3,16,9,8.62;
2015,3,16,10,8.96;
2015,3,16,11,9.19;
2015,3,16,12,9.38;
2015,3,16,13,9.5;
2015,3,16,14,9.52;
2015,3,16,15,9.48;
2015,3,16,16,9.3;
2015,3,16,17,9.01;
2015,3,16,18,8.8;
2015,3,16,19,8.64;
2015,3,16,20,8.45;
2015,3,16,21,8.28;
2015,3,16,22,8.28;
2015,3,16,23,8.44;
2015,3,17,0,8.73;
2015,3,17,1,9.05;
2015,3,17,2,9.25;
2015,3,17,3,9.36;
2015,3,17,4,9.34;
2015,3,17,5,9.14;
2015,3,17,6,8.97;
2015,3,17,7,9.39;
2015,3,17,8,10.15;
2015,3,17,9,10.94;
2015,3,17,10,11.63;
2015,3,17,11,12.08;
2015,3,17,12,12.33;
2015,3,17,13,12.49;
2015,3,17,14,12.59;
2015,3,17,15,12.44;
2015,3,17,16,11.86;
2015,3,17,17,10.9;
2015,3,17,18,10.18;
2015,3,17,19,9.94;
2015,3,17,20,9.62;
2015,3,17,21,9.11;
2015,3,17,22,8.57;
2015,3,17,23,8.22;
2015,3,18,0,8.0;
2015,3,18,1,7.8;
2015,3,18,2,7.57;
2015,3,18,3,7.43;
2015,3,18,4,7.11;
2015,3,18,5,6.64;
2015,3,18,6,6.33;
2015,3,18,7,7.8;
2015,3,18,8,9.07;
2015,3,18,9,10.4;
2015,3,18,10,11.8;
2015,3,18,11,12.73;
2015,3,18,12,13.2;
2015,3,18,13,13.52;
2015,3,18,14,13.73;
2015,3,18,15,13.64;
2015,3,18,16,13.07;
2015,3,18,17,11.88;
2015,3,18,18,10.99;
2015,3,18,19,10.84;
2015,3,18,20,10.87;
2015,3,18,21,10.81;
2015,3,18,22,10.73;
2015,3,18,23,10.5;
2015,3,19,0,10.15;
2015,3,19,1,9.89;
2015,3,19,2,9.74;
2015,3,19,3,9.5;
2015,3,19,4,9.03;
2015,3,19,5,8.44;
2015,3,19,6,7.66;
2015,3,19,7,8.43;
2015,3,19,8,9.47;
2015,3,19,9,10.74;
2015,3,19,10,12.05;
2015,3,19,11,12.98;
2015,3,19,12,13.51;
2015,3,19,13,13.74;
2015,3,19,14,13.73;
2015,3,19,15,13.46;
2015,3,19,16,12.87;
2015,3,19,17,11.43;
2015,3,19,18,9.91;
2015,3,19,19,9.42;
2015,3,19,20,9.28;
2015,3,19,21,9.62;
2015,3,19,22,9.89;
2015,3,19,23,9.59;
2015,3,20,0,9.16;
2015,3,20,1,8.85;
2015,3,20,2,8.65;
2015,3,20,3,8.57;
2015,3,20,4,8.48;
2015,3,20,5,8.42;
2015,3,20,6,8.37;
2015,3,20,7,9.38;
2015,3,20,8,10.64;
2015,3,20,9,11.73;
2015,3,20,10,12.58;
2015,3,20,11,13.01;
2015,3,20,12,13.2;
2015,3,20,13,13.15;
2015,3,20,14,12.97;
2015,3,20,15,12.55;
2015,3,20,16,11.98;
2015,3,20,17,10.65;
2015,3,20,18,9.19;
2015,3,20,19,8.77;
2015,3,20,20,8.82;
2015,3,20,21,8.98;
2015,3,20,22,9.05;
2015,3,20,23,8.65;
2015,3,21,0,8.21;
2015,3,21,1,7.77;
2015,3,21,2,7.42;
2015,3,21,3,7.14;
2015,3,21,4,6.95;
2015,3,21,5,6.73;
2015,3,21,6,6.61;
2015,3,21,7,7.65;
2015,3,21,8,9.01;
2015,3,21,9,10.4;
2015,3,21,10,11.38;
2015,3,21,11,11.92;
2015,3,21,12,12.24;
2015,3,21,13,12.37;
2015,3,21,14,12.24;
2015,3,21,15,11.9;
2015,3,21,16,11.37;
2015,3,21,17,10.41;
2015,3,21,18,9.63;
2015,3,21,19,9.49;
2015,3,21,20,9.43;
2015,3,21,21,9.36;
2015,3,21,22,9.27;
2015,3,21,23,9.16;
2015,3,22,0,9.09;
2015,3,22,1,9.01;
2015,3,22,2,8.94;
2015,3,22,3,8.92;
2015,3,22,4,8.98;
2015,3,22,5,9.02;
2015,3,22,6,9.15;
2015,3,22,7,9.45;
2015,3,22,8,9.75;
2015,3,22,9,10.15;
2015,3,22,10,10.5;
2015,3,22,11,11.12;
2015,3,22,12,11.75;
2015,3,22,13,12.1;
2015,3,22,14,12.28;
2015,3,22,15,12.3;
2015,3,22,16,12.16;
2015,3,22,17,11.26;
2015,3,22,18,10.06;
2015,3,22,19,9.81;
2015,3,22,20,9.75;
2015,3,22,21,9.66;
2015,3,22,22,9.35;
2015,3,22,23,8.87;
2015,3,23,0,8.47;
2015,3,23,1,8.24;
2015,3,23,2,8.1;
2015,3,23,3,7.94;
2015,3,23,4,7.64;
2015,3,23,5,7.12;
2015,3,23,6,7.01;
2015,3,23,7,8.52;
2015,3,23,8,9.62;
2015,3,23,9,10.7;
2015,3,23,10,11.75;
2015,3,23,11,12.48;
2015,3,23,12,13.01;
2015,3,23,13,13.4;
2015,3,23,14,13.64;
2015,3,23,15,13.67;
2015,3,23,16,13.47;
2015,3,23,17,12.65;
2015,3,23,18,12.07;
2015,3,23,19,12.15;
2015,3,23,20,11.71;
2015,3,23,21,10.62;
2015,3,23,22,9.69;
2015,3,23,23,8.83;
2015,3,24,0,8.22;
2015,3,24,1,7.74;
2015,3,24,2,7.37;
2015,3,24,3,7.23;
2015,3,24,4,7.08;
2015,3,24,5,6.9;
2015,3,24,6,7.18;
2015,3,24,7,8.87;
2015,3,24,8,10.01;
2015,3,24,9,11.28;
2015,3,24,10,12.27;
2015,3,24,11,13.11;
2015,3,24,12,13.62;
2015,3,24,13,13.76;
2015,3,24,14,13.62;
2015,3,24,15,13.19;
2015,3,24,16,12.52;
2015,3,24,17,11.45;
2015,3,24,18,10.21;
2015,3,24,19,9.98;
2015,3,24,20,9.94;
